Group PAC ID,Measure Performance Rate,Year,State
4880591288,65.25,2016,PA
4880593722,64.125,2016,PA
4880760107,64.25,2016,OR
4880846179,63.875,2016,MD
4981593092,61.57142857142857,2016,NY
4981699220,72.25,2016,TX
4981751617,61.375,2016,IN
4981795267,63.57142857142857,2016,NM
5092023416,68.75,2016,TN
5092628479,64.0,2016,HI
5092702548,97.0,2016,VA
5092709410,63.5,2016,NY
5092751842,67.125,2016,NJ
5193610228,68.75,2016,TN
5193610533,62.5,2016,NY
5193623643,68.75,2016,LA
5193634293,71.33333333333333,2016,TX
5193874824,68.125,2016,SC
5193900280,57.0,2016,PA
5294620746,77.5,2016,PA
5294623245,62.25,2016,OR
5294646378,70.25,2016,TN
5294707634,70.75,2016,PA
5395642276,64.875,2016,NJ
5395649347,62.75,2016,PA
5395658819,65.75,2016,NC
5395658934,70.125,2016,TX
5395659312,65.625,2016,PA
5496641631,66.5,2016,NY
5496648875,67.25,2016,OH
5496651408,68.75,2016,OH
5496659484,64.625,2016,PA
5496664740,70.75,2016,PA
5496739468,64.25,2016,ME
5496940546,66.25,2016,NC
5597658492,62.142857142857146,2016,KS
5597677955,66.875,2016,MN
5597708594,60.0,2016,OH
5698092385,67.625,2016,NY
5698675510,67.0,2016,VA
5698689297,70.0,2016,FL
5698689909,63.375,2016,KY
5698840775,66.375,2016,OK
5799689493,65.125,2016,WV
5799694675,69.0,2016,WI
5799698346,65.0,2016,IL
5799699088,68.0,2016,NY
5799778510,61.625,2016,NY
5799787784,65.75,2016,MO
5890604722,65.125,2016,WI
5890606008,65.25,2016,OH
5890689657,66.0,2016,CA
5991600405,64.25,2016,IL
5991609737,64.75,2016,CA
5991776635,66.25,2016,ME
5991889081,67.875,2016,VA
6002713922,69.42857142857143,2016,OH
6002728391,65.875,2016,NE
6002728656,64.125,2016,PA
6002802220,66.0,2016,GA
6002814878,58.875,2016,IL
6103715529,68.125,2016,NY
6103723267,66.875,2016,IL
6103724778,67.25,2016,FL
6103730544,34.333333333333336,2016,NV
6103737812,62.625,2016,ME
6204002272,57.625,2016,AZ
6204730955,65.625,2016,PA
6204731144,66.0,2016,IL
6204731300,63.857142857142854,2016,SC
6204737117,70.125,2016,PA
6204740731,63.0,2016,OH
6305730912,63.125,2016,FL
6305748153,65.75,2016,MO
6305748799,63.625,2016,CA
6305758426,68.5,2016,OH
6305758574,68.25,2016,SC
6305759754,65.5,2016,HI
6305810201,65.125,2016,OH
6305817503,69.875,2016,ME
6406020155,58.142857142857146,2016,AZ
6406752153,66.5,2016,WA
6406757442,68.875,2016,WI
6406849256,39.0,2016,FL
6507181708,45.333333333333336,2016,CA
6507778255,66.875,2016,MN
6507803806,66.125,2016,MA
6507877891,83.0,2016,WI
6507886231,63.75,2016,VA
6608185749,79.33333333333333,2016,AL
6608789813,66.5,2016,CA
6709790157,72.33333333333333,2016,KY
6709794258,68.375,2016,WI
6709797491,68.0,2016,CA
6709798333,66.125,2016,PA
6800707100,66.57142857142857,2016,MN
6800707233,65.125,2016,CO
6800787714,67.375,2016,MA
6800790221,64.25,2016,FL
6800793522,59.333333333333336,2016,WA
6901099746,68.5,2016,CT
6901791367,49.833333333333336,2016,AZ
6901792696,61.25,2016,NY
6901898386,69.25,2016,GA
7012808827,68.75,2016,WA
7012811284,65.5,2016,KY
7012820301,64.375,2016,NY
7012827983,66.25,2016,WI
7012829351,65.75,2016,GA
7012829930,70.75,2016,AZ
7012996275,64.875,2016,NH
7113820622,47.0,2016,TN
7113830142,66.28571428571429,2016,MN
7113834839,69.0,2016,MN
7214016559,67.625,2016,TX
7214936533,65.125,2016,OR
7315166949,65.25,2016,PA
7315833555,64.125,2016,FL
7315856077,64.375,2016,MI
7416006085,67.125,2016,NC
7416100672,61.875,2016,FL
7416139324,65.5,2016,NY
7416840160,64.875,2016,PA
7416845318,59.4,2016,PA
7416860663,40.0,2016,IN
7416860705,61.75,2016,FL
7416869516,62.75,2016,CA
7517863749,63.875,2016,CT
7517864754,55.75,2016,TX
7618270729,62.5,2016,VA
7618861105,58.75,2016,IL
7618870296,59.142857142857146,2016,FL
7618871799,67.0,2016,SC
7618880097,67.5,2016,WA
7618880766,67.5,2016,IL
7618881905,69.875,2016,KS
7618889213,62.5,2016,PA
7618960493,59.875,2016,PA
7618972514,52.0,2016,AZ
7719014505,56.5,2016,AZ
7719876267,59.166666666666664,2016,MA
7719890730,66.875,2016,WI
7719899426,67.0,2016,IL
7719899871,64.875,2016,AZ
7719899897,67.0,2016,WA
7719978105,67.125,2016,GA
7810800661,62.625,2016,CA
7810809936,58.166666666666664,2016,NY
7911801410,70.75,2016,TX
7911807128,59.6,2016,FL
7911808381,66.125,2016,MI
7911810742,67.5,2016,TN
7911814926,60.42857142857143,2016,MT
7911816020,60.625,2016,ND
8022019215,66.5,2016,NH
8022032234,66.75,2016,UT
8022171974,67.0,2016,TX
8022329408,63.0,2016,WI
8022904473,61.125,2016,NY
8022921964,65.875,2016,MO
8022922475,64.875,2016,CA
8123200540,66.0,2016,MS
8123260981,60.857142857142854,2016,MD
8123923604,66.42857142857143,2016,TX
8224031307,68.0,2016,SC
8224068424,65.0,2016,MA
8224942867,66.125,2016,OR
8224947858,64.25,2016,WI
8325934813,72.33333333333333,2016,TX
8325942253,64.75,2016,MO
8325950215,68.625,2016,SD
8325952914,64.25,2016,FL
8426102831,67.625,2016,WY
8426112350,67.0,2016,GA
8426136797,66.25,2016,PA
8426231119,62.25,2016,VA
8426370842,64.0,2016,MT
8426951328,64.125,2016,CA
8426957523,64.25,2016,OK
8426960360,65.0,2016,TX
8426967803,63.875,2016,ND
8527117027,70.375,2016,IL
8527372960,68.75,2016,WI
8527960533,68.0,2016,NY
8527970060,63.875,2016,MN
8527976513,63.375,2016,WA
8628087681,45.333333333333336,2016,MI
8628092897,68.0,2016,MO
8628972759,65.375,2016,CA
8628980943,68.625,2016,WI
8628986536,72.625,2016,WI
8729990239,63.0,2016,PA
8729992318,66.0,2016,IA
8729996608,68.125,2016,FL
8820178288,65.75,2016,WA
8820900293,65.75,2016,OK
8820901408,64.125,2016,GA
8820908189,65.25,2016,NH
8921273038,62.375,2016,CO
8921903923,66.125,2016,VA
8921911587,66.5,2016,KS
8921912536,63.625,2016,WV
8921996307,64.75,2016,MI
9032005681,68.5,2016,IL
9032014758,64.75,2016,CT
9032021431,67.625,2016,IN
9032021563,69.0,2016,FL
9032023270,61.25,2016,OR
9032023874,70.75,2016,OH
9032111281,62.875,2016,CA
9032125810,61.285714285714285,2016,NM
9133019821,64.0,2016,NY
9133024334,70.16666666666667,2016,MO
9133025869,65.375,2016,FL
9133300791,65.625,2016,NJ
9133378870,69.875,2016,LA
9133423304,73.5,2016,MN
9234033853,64.0,2016,CA
9234041708,63.25,2016,NM
9234041997,67.375,2016,MN
9234318502,67.125,2016,KS
9335051093,67.0,2016,MI
9335059856,59.5,2016,WI
9335130137,87.0,2016,TX
9436054798,72.625,2016,KS
9436060969,56.166666666666664,2016,NY
9436061736,66.0,2016,CT
9436062296,64.25,2016,AL
9436122496,69.25,2016,OK
9436128980,61.0,2016,KS
9436139565,64.5,2016,FL
9436159712,64.75,2016,NC
9436392966,64.375,2016,WA
9537059084,84.0,2016,FL
9537066584,65.875,2016,OH
9537071790,67.75,2016,NC
9537073960,64.5,2016,WA
9537119037,65.625,2016,KS
9537172358,63.625,2016,WA
9537309869,63.75,2016,WA
9537316393,63.625,2016,WV
9638070683,67.25,2016,NC
9638076730,86.0,2016,GA
9638082779,68.125,2016,WI
9739081142,65.375,2016,FL
9739087818,51.0,2016,AL
9739093675,65.5,2016,NJ
9739098575,66.375,2016,ND
9739098617,66.875,2016,WA
9739191628,67.875,2016,KY
9739403569,65.5,2016,UT
9830001189,67.375,2016,MN
9830002617,64.875,2016,WA
9830003417,46.0,2016,NJ
9830003631,65.5,2016,TX
9830008770,66.625,2016,MO
9830082882,62.875,2016,FL
9830087774,61.25,2016,SC
9830093640,61.875,2016,GA
9830094515,66.75,2016,CA
9830196799,86.5,2016,KS
9931011434,65.375,2016,VA
9931013513,64.25,2016,GA
9931141124,67.75,2016,IN
9931190220,66.75,2016,NC
9931196797,71.375,2016,NC
9931239027,60.285714285714285,2016,CA
9931359601,64.5,2016,MI
