Group PAC ID,Measure Performance Rate,Year,State,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate
3870633753,67.875,2016,FL,64.0,12.0,18.75
4082526280,62.875,2016,FL,6137.0,0.0,0.0
4082883673,63.375,2016,NY,20521.0,1301.0,6.339846986014327
4183537509,69.125,2016,NH,2815.0,66.0,2.3445825932504443
4284538505,61.125,2016,CA,335.0,12.0,3.582089552238806
4284538778,68.625,2016,CA,10629.0,336.0,3.1611628563364382
4284546151,60.625,2016,ND,82.0,44.0,53.65853658536585
4385538735,39.5,2016,MD,4070.0,115.0,2.8255528255528257
4385542117,65.5,2016,VA,151.0,30.0,19.867549668874172
4385556703,62.85714285714285,2016,MN,2263.0,117.0,5.170128148475475
4385722511,62.125,2016,CO,20692.0,1061.0,5.127585540305432
4486557501,74.75,2016,CT,154.0,13.0,8.441558441558442
4486567104,64.25,2016,MA,44301.0,2145.0,4.841877158529153
4486567229,65.375,2016,CA,697.0,108.0,15.494978479196556
4486711744,67.125,2016,TX,11698.0,1507.0,12.882544024619593
4587573613,69.0,2016,MN,55507.0,1918.0,3.4554200371124364
4587575550,62.5,2016,NE,7181.0,2190.0,30.497145244394932
4587576814,65.5,2016,IL,746.0,272.0,36.46112600536193
4688573686,65.5,2016,MO,3528.0,42.0,1.1904761904761905
4789606088,64.5,2016,VA,58033.0,4649.0,8.010959281787947
4880506062,70.875,2016,NE,248.0,11.0,4.435483870967742
4880593722,64.125,2016,PA,86853.0,2474.0,2.848491128688704
4880846179,63.875,2016,MD,281.0,30.0,10.676156583629894
4981593092,61.57142857142857,2016,NY,20727.0,825.0,3.980315530467506
4981699220,72.25,2016,TX,408.0,42.0,10.294117647058824
4981795267,63.57142857142857,2016,NM,5188.0,376.0,7.247494217424826
5092023416,68.75,2016,TN,2641.0,960.0,36.3498674744415
5092628479,64.0,2016,HI,6666.0,593.0,8.895889588958896
5193610533,62.5,2016,NY,56384.0,1545.0,2.740139046538025
5193623643,68.75,2016,LA,5924.0,438.0,7.393652937204592
5193874824,68.125,2016,SC,10545.0,333.0,3.1578947368421053
5294620746,77.5,2016,PA,1944.0,142.0,7.304526748971194
5294623245,62.25,2016,OR,7701.0,240.0,3.1164783794312427
5395642276,64.875,2016,NJ,8966.0,458.0,5.10818648226634
5395658819,65.75,2016,NC,4279.0,280.0,6.5435849497546155
5395659312,65.625,2016,PA,9409.0,191.0,2.0299713040705707
5496659484,64.625,2016,PA,20234.0,945.0,4.670356825145794
5496739468,64.25,2016,ME,24618.0,612.0,2.48598586400195
5496940546,66.25,2016,NC,21555.0,842.0,3.9062862444908375
5698689297,70.0,2016,FL,5293.0,222.0,4.194218779520121
5698689909,63.375,2016,KY,8483.0,134.0,1.5796298479311564
5890689657,66.0,2016,CA,10986.0,1077.0,9.803386127799017
