Group PAC ID,Measure Performance Rate,Year,State
5395659312,64.25,2015,PA
5496641631,73.0,2015,NY
5496651408,67.75,2015,OH
5496659484,64.25,2015,PA
5496664740,69.125,2015,PA
5496940546,66.625,2015,NC
5597658492,60.285714285714285,2015,KS
5597677955,65.125,2015,MN
5597725168,67.14285714285714,2015,MN
5597755322,69.625,2015,MA
5597867184,65.625,2015,KY
5698092385,83.33333333333333,2015,NY
5698675510,60.5,2015,VA
5698689297,70.5,2015,FL
5698689909,62.75,2015,KY
5799674248,42.0,2015,NY
5799694675,68.5,2015,WI
5799698346,62.125,2015,IL
5799698742,47.0,2015,OK
5799778510,61.5,2015,NY
5799787784,63.0,2015,MO
5890604722,66.75,2015,WI
5890606008,67.625,2015,OH
5890689293,64.0,2015,WA
5890689657,65.5,2015,CA
5890939029,66.42857142857143,2015,CT
5991600405,69.6,2015,IL
5991609737,60.75,2015,CA
5991776635,66.375,2015,ME
6002713922,66.625,2015,OH
6002728391,68.0,2015,NE
6002728656,65.0,2015,PA
6002814878,59.875,2015,IL
6103061189,67.375,2015,NY
6103093513,44.0,2015,MD
6103715529,66.375,2015,NY
6103717350,62.625,2015,TX
6103724778,67.625,2015,FL
6103730544,41.25,2015,NV
6103736665,70.25,2015,MS
6103738703,61.5,2015,MI
6103897129,63.857142857142854,2015,NH
6103987458,64.875,2015,NY
6204730955,64.28571428571429,2015,PA
6204731144,65.0,2015,IL
6204731300,56.5,2015,SC
6204733520,68.125,2015,WV
6204737117,67.5,2015,PA
6204740731,63.5,2015,OH
6204805823,70.75,2015,NC
6305730912,63.25,2015,FL
6305748153,68.0,2015,MO
6305748799,64.375,2015,CA
6305758426,67.0,2015,OH
6305758574,67.42857142857143,2015,SC
6305759754,64.375,2015,HI
6406752153,65.125,2015,WA
6406757442,68.0,2015,WI
6507778255,66.125,2015,MN
6507803806,66.25,2015,MA
6507877891,84.4,2015,WI
6608921242,76.0,2015,NC
6709780265,6.0,2015,AK
6709787823,88.2,2015,NY
6709790157,56.166666666666664,2015,KY
6709794258,67.625,2015,WI
6709797491,65.5,2015,CA
6709798333,65.25,2015,PA
6709864846,60.0,2015,NJ
6800707100,66.0,2015,MN
6800707233,65.0,2015,CO
6800708330,67.625,2015,SC
6800790221,61.25,2015,FL
6800793522,52.8,2015,WA
6901099746,66.125,2015,CT
6901791367,53.625,2015,AZ
6901898386,68.0,2015,GA
7012808827,68.25,2015,WA
7012811284,65.25,2015,KY
7012820301,61.25,2015,NY
7012827983,66.625,2015,WI
7012829351,65.875,2015,GA
7012829930,68.5,2015,AZ
7113820622,35.0,2015,TN
7113830142,63.375,2015,MN
7113834839,67.625,2015,MN
7113837329,66.0,2015,KY
7214016559,68.125,2015,TX
7214936533,62.25,2015,OR
7315166949,63.375,2015,PA
7315833555,61.375,2015,FL
7315848140,86.0,2015,TN
7416100672,66.625,2015,FL
7416139324,64.5,2015,NY
7416845318,51.25,2015,PA
7416860663,47.0,2015,IN
7416860705,62.625,2015,FL
7416869516,63.5,2015,CA
7517863749,65.125,2015,CT
7517864754,59.8,2015,TX
7618861105,60.375,2015,IL
7618871799,65.25,2015,SC
7618880097,68.25,2015,WA
7618880766,60.714285714285715,2015,IL
7618881905,68.625,2015,KS
7618889213,68.0,2015,PA
7618972514,54.625,2015,AZ
7719014505,49.333333333333336,2015,AZ
7719040385,57.0,2015,OH
7719876267,69.125,2015,MA
7719882943,69.375,2015,MD
7719899426,68.625,2015,IN
7719899871,57.166666666666664,2015,AZ
7719899897,64.375,2015,WA
7810800661,62.5,2015,CA
7810809936,58.57142857142857,2015,NY
7911801410,68.375,2015,TX
7911807128,65.85714285714286,2015,FL
7911810742,65.75,2015,TN
7911814926,53.5,2015,MT
7911816020,61.857142857142854,2015,ND
8022019215,66.5,2015,NH
8022032234,65.625,2015,UT
8022243971,65.0,2015,TX
8022904473,61.5,2015,NY
8022921964,65.5,2015,MO
8022922202,60.0,2015,PA
8022922475,63.0,2015,CA
8123923604,67.5,2015,TX
8224031307,67.5,2015,SC
8224068424,62.125,2015,MA
8224928965,65.375,2015,OH
8224947858,65.125,2015,WI
8325206246,56.166666666666664,2015,OR
8325942253,66.57142857142857,2015,MO
8325950215,64.75,2015,SD
8325952823,61.25,2015,MN
8325952914,61.25,2015,FL
8426039694,64.125,2015,CA
8426051293,70.25,2015,TX
8426112350,62.75,2015,GA
8426113663,73.0,2015,VA
8426136797,66.75,2015,PA
8426231119,62.125,2015,VA
8426951328,64.125,2015,CA
8426957523,48.75,2015,OK
8426957952,54.0,2015,AL
8426960360,66.875,2015,TX
8426967803,64.875,2015,ND
8527960533,66.0,2015,NY
8527970060,65.75,2015,MN
8527976513,61.5,2015,WA
8628087681,53.0,2015,MI
8628092897,71.25,2015,MO
8628972759,65.0,2015,CA
8628980943,66.875,2015,WI
8628986536,67.5,2015,WI
8729245584,66.5,2015,MI
8729990239,64.75,2015,PA
8820900293,63.5,2015,OK
8820900749,68.875,2015,WI
8820901408,66.375,2015,GA
8820908189,66.5,2015,NH
8921273038,62.75,2015,CO
8921903923,65.75,2015,VA
8921911587,66.25,2015,KS
8921912536,63.25,2015,WV
8921919580,71.75,2015,TX
9032014758,64.25,2015,CT
9032021563,64.42857142857143,2015,FL
9032023270,61.375,2015,OR
9032023874,67.75,2015,OH
9032125810,60.875,2015,NM
9032335849,65.375,2015,MD
9133024334,64.42857142857143,2015,MO
9133025869,64.25,2015,FL
9133032170,67.0,2015,NY
9234033853,65.625,2015,CA
9234041708,53.75,2015,NM
9335051093,64.25,2015,MI
9335059856,64.4,2015,WI
9436061736,63.875,2015,CT
9436062296,64.25,2015,AL
9436122496,65.125,2015,OK
9436139565,63.375,2015,FL
9436159712,66.25,2015,NC
9436392966,61.25,2015,WA
9537066584,65.5,2015,OH
9537071790,65.83333333333333,2015,NC
9537073119,61.125,2015,MD
9537073960,62.375,2015,WA
9537124441,63.25,2015,NY
9537172358,62.42857142857143,2015,WA
9537309869,66.85714285714286,2015,WA
9638070683,69.625,2015,NC
9638076730,74.25,2015,GA
9638082779,69.125,2015,WI
9638083645,49.0,2015,NY
9638491574,68.875,2015,MT
9739087818,39.5,2015,AL
9739093675,66.375,2015,NJ
9739097569,65.0,2015,DE
9739098575,63.25,2015,ND
9739098617,67.0,2015,WA
9739191628,65.5,2015,KY
9830001189,71.25,2015,MN
9830002617,67.375,2015,WA
9830003417,61.875,2015,NJ
9830008770,67.0,2015,MO
9830009711,67.125,2015,NJ
9830093640,61.625,2015,GA
9830094515,66.875,2015,CA
9830196799,73.71428571428571,2015,MO
9931011434,68.42857142857143,2015,VA
9931013513,66.0,2015,SC
9931196797,68.0,2015,NC
9931239027,63.0,2015,CA
9931359601,64.375,2015,MI
