PAC ID,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,State
42100190.0,241.0,68.0,28.22,MI
42100273.0,232.0,22.0,9.48,TX
42101156.0,620.0,38.0,6.13,NV
42101164.0,336.0,56.0,16.67,MI
42101446.0,682.0,228.0,33.43,IL
42101750.0,7206.0,99.0,1.37,LA
42102618.0,496.0,231.0,46.57,CA
42102741.0,109.0,37.0,33.94,CA
42103483.0,239.0,57.0,23.85,TX
42104929.0,11309.0,346.0,3.06,FL
42105090.0,579.0,166.0,28.67,FL
42105850.0,353.0,90.0,25.5,OH
42107138.0,186.0,33.0,17.74,MD
42107708.0,138.0,40.0,28.99,NJ
42107955.0,349.0,72.0,20.63,CA
42109001.0,107.0,24.0,22.43,CA
42110272.0,274.0,64.0,23.36,CA
42112518.0,669.0,135.0,20.18,CA
42113607.0,1035.0,136.0,13.14,FL
42118416.0,2344.0,0.0,0.0,FL
42200099.0,2141.0,67.0,3.13,FL
42201188.0,76.0,13.0,17.11,MN
42202400.0,530.0,0.0,0.0,NY
42203002.0,259.0,70.0,27.03,WA
42203499.0,1090.0,74.0,6.79,IN
42205361.0,4588.0,1037.0,22.6,AZ
42208977.0,80.0,25.0,31.25,IL
42209470.0,6390.0,150.0,2.35,WI
42212037.0,4934.0,122.0,2.47,TX
42216442.0,221.0,15.0,6.79,NV
42219735.0,7570.0,286.0,3.78,SC
42220550.0,649.0,60.0,9.24,NC
42239634.0,234.0,75.0,32.05,LA
42239923.0,50962.0,3770.0,7.4,AL
42241903.0,2295.0,37.0,1.61,CA
42242430.0,1016.0,46.0,4.53,ME
42243719.0,367.0,120.0,32.7,CA
42245136.0,150.0,13.0,8.67,TX
42246688.0,178.0,56.0,31.46,CA
42247124.0,3275.0,74.0,2.26,FL
42247611.0,3904.0,68.0,1.74,WI
42249690.0,506.0,99.0,19.57,SC
42255150.0,123.0,49.0,39.84,VA
42255234.0,167.0,46.0,27.54,CA
42255846.0,2121.0,79.0,3.72,OK
42256828.0,386.0,122.0,31.61,MS
42258675.0,148.0,30.0,20.27,CA
42259038.0,15843.0,538.0,3.4,LA
42261109.0,1100.0,115.0,10.45,MO
42267593.0,3901.0,109.0,2.79,NY
42269599.0,312.0,68.0,21.79,WA
42269821.0,87.0,20.0,22.99,CA
42270282.0,9018.0,269.0,2.98,TN
42271900.0,454.0,169.0,37.22,FL
42272437.0,98.0,35.0,35.71,WI
42273153.0,13347.0,626.0,4.69,FL
42273427.0,45.0,12.0,26.67,MD
42279143.0,418.0,86.0,20.57,KY
42281123.0,9312.0,412.0,4.42,GA
42282998.0,343.0,92.0,26.82,SC
42286262.0,6581.0,454.0,6.9,AL
42287302.0,4075.0,228.0,5.6,MS
42290454.0,5349.0,211.0,3.94,IL
42291825.0,247.0,58.0,23.48,LA
42291882.0,116.0,30.0,25.86,MI
42293706.0,170.0,24.0,14.12,TX
42294373.0,248.0,66.0,26.61,CA
42297095.0,1713.0,25.0,1.46,FL
42302515.0,313.0,89.0,28.43,CA
42302762.0,6669.0,325.0,4.87,FL
42304933.0,415.0,16.0,3.86,CA
42305450.0,381.0,165.0,43.31,FL
42306623.0,155.0,27.0,17.42,MD
42308165.0,12187.0,604.0,4.96,MA
42312431.0,229.0,18.0,7.86,VA
42315202.0,4145.0,84.0,2.03,FL
42315525.0,6037.0,809.0,13.4,FL
42319790.0,10956.0,533.0,4.86,TN
42334104.0,4696.0,168.0,3.58,CA
42335895.0,11218.0,177.0,1.58,MA
42336182.0,172.0,13.0,7.56,CA
42336497.0,293.0,31.0,10.58,SC
42344855.0,902.0,153.0,16.96,IA
42347189.0,73.0,20.0,27.4,NJ
42351918.0,179.0,16.0,8.94,CT
42352478.0,2031.0,146.0,7.19,MD
42352510.0,3280.0,20.0,0.61,KY
42354227.0,12155.0,672.0,5.53,AL
42355372.0,375.0,169.0,45.07,FL
42359366.0,2096.0,61.0,2.91,MI
42360570.0,1468.0,0.0,0.0,TX
42362733.0,14555.0,580.0,3.98,IL
42364663.0,297.0,90.0,30.3,GA
42366429.0,3327.0,129.0,3.88,MI
42367419.0,5133.0,208.0,4.05,CA
42371320.0,1503.0,18.0,1.2,PA
42371544.0,146.0,42.0,28.77,CA
42377111.0,24384.0,309.0,1.27,FL
42380610.0,5624.0,3317.0,58.98,FL
42388126.0,52.0,20.0,38.46,CO
42389454.0,765.0,242.0,31.63,MS
42389884.0,11230.0,369.0,3.29,AL
42403875.0,835.0,123.0,14.73,CA
42407934.0,250.0,17.0,6.8,OR
42438152.0,212.0,73.0,34.43,FL
42446155.0,328.0,29.0,8.84,NV
42447369.0,551.0,39.0,7.08,LA
42447971.0,122.0,23.0,18.85,FL
42450363.0,342.0,11.0,3.22,IL
42453649.0,282.0,22.0,7.8,TX
42460701.0,310.0,63.0,20.32,NY
42461980.0,4530.0,266.0,5.87,OH
42466732.0,242.0,20.0,8.26,MD
42466765.0,455.0,130.0,28.57,MO
42466880.0,149.0,17.0,11.41,FL
42466930.0,240.0,44.0,18.33,TN
42469116.0,129.0,22.0,17.05,MI
42481004.0,166.0,48.0,28.92,NV
42481103.0,100.0,25.0,25.0,WA
42481525.0,269.0,20.0,7.43,CA
42481756.0,107.0,16.0,14.95,NC
42482747.0,1197.0,197.0,16.46,CO
42483265.0,203.0,18.0,8.87,OK
42484099.0,1912.0,113.0,5.91,WA
42484644.0,451.0,109.0,24.17,NY
42485799.0,215.0,18.0,8.37,OH
42490591.0,1194.0,150.0,12.56,FL
42496416.0,1492.0,60.0,4.02,TX
42496994.0,312.0,0.0,0.0,NY
42497539.0,9141.0,259.0,2.83,OH
42498537.0,520.0,140.0,26.92,CA
143110957.0,549.0,287.0,52.28,CA
143111666.0,222.0,14.0,6.31,IN
143111682.0,189.0,19.0,10.05,TX
143113902.0,17943.0,687.0,3.83,GA
143115758.0,166.0,40.0,24.1,HI
143118075.0,3390.0,51.0,1.5,MI
143118588.0,493.0,82.0,16.63,FL
143119073.0,4411.0,92.0,2.09,LA
143119305.0,7669.0,850.0,11.08,MO
143121228.0,26819.0,1009.0,3.76,GA
143123372.0,412.0,162.0,39.32,GA
143127217.0,82.0,14.0,17.07,FL
143129783.0,6318.0,111.0,1.76,PA
143133363.0,257.0,83.0,32.3,MI
143200287.0,3342.0,52.0,1.56,TX
143200535.0,251.0,78.0,31.08,AR
143201988.0,258.0,92.0,35.66,WA
143211938.0,147.0,44.0,29.93,SC
143215269.0,7597.0,453.0,5.96,AZ
143215731.0,9249.0,292.0,3.16,WI
143223933.0,156.0,28.0,17.95,OH
143224683.0,69.0,19.0,27.54,AL
143232009.0,122.0,34.0,27.87,MI
143233387.0,2982.0,110.0,3.69,MI
143233627.0,208.0,63.0,30.29,SD
143234575.0,432.0,82.0,18.98,OH
143239285.0,991.0,62.0,6.26,WI
143242214.0,114.0,0.0,0.0,CA
143245795.0,317.0,75.0,23.66,MO
143249110.0,336.0,13.0,3.87,GA
143250100.0,3438.0,111.0,3.23,VA
143252999.0,344.0,105.0,30.52,TX
143253401.0,113.0,38.0,33.63,NC
143260422.0,11841.0,429.0,3.62,NJ
143261222.0,364.0,18.0,4.95,CA
143261735.0,3310.0,16.0,0.48,SC
143268961.0,11311.0,354.0,3.13,FL
143270777.0,130.0,38.0,29.23,IL
143272377.0,233.0,15.0,6.44,MI
143274258.0,9064.0,274.0,3.02,TX
143274456.0,20330.0,907.0,4.46,IN
143277830.0,271.0,84.0,31.0,OK
143278192.0,7654.0,391.0,5.11,GA
143280479.0,4667.0,174.0,3.73,MI
143281949.0,671.0,180.0,26.83,GA
143283721.0,616.0,82.0,13.31,NY
143286294.0,167.0,31.0,18.56,CA
143287508.0,5071.0,87.0,1.72,FL
143288787.0,6284.0,261.0,4.15,TX
143289660.0,6825.0,280.0,4.1,CO
143290379.0,2107.0,17.0,0.81,NC
143290403.0,303.0,55.0,18.15,CA
143292094.0,457.0,129.0,28.23,IL
143293506.0,252.0,76.0,30.16,NJ
143294371.0,8524.0,452.0,5.3,TX
143295097.0,109.0,26.0,23.85,CA
143295899.0,46.0,15.0,32.61,NM
143296988.0,12716.0,1361.0,10.7,CA
143299743.0,12964.0,467.0,3.6,TX
143300814.0,325.0,71.0,21.85,TX
143301705.0,182.0,41.0,22.53,PA
143303115.0,12820.0,277.0,2.16,CO
143303446.0,4743.0,120.0,2.53,NJ
143304238.0,48.0,11.0,22.92,MD
143307157.0,256.0,26.0,10.16,MD
143310235.0,3202.0,170.0,5.31,CO
143314880.0,19031.0,23.0,0.12,NY
143317909.0,196.0,43.0,21.94,MD
143317958.0,122.0,57.0,46.72,SD
143319772.0,3952.0,131.0,3.31,CO
143320572.0,1390.0,662.0,47.63,LA
143326504.0,277.0,64.0,23.1,AR
143328203.0,203.0,60.0,29.56,TX
143328351.0,2204.0,70.0,3.18,RI
143328690.0,444.0,13.0,2.93,NY
143345264.0,149.0,27.0,18.12,WA
143346957.0,17414.0,770.0,4.42,TX
143350082.0,274.0,78.0,28.47,TX
143350710.0,171.0,37.0,21.64,CO
143351106.0,64.0,19.0,29.69,MD
143352294.0,81.0,0.0,0.0,HI
143352443.0,9061.0,473.0,5.22,TX
143352849.0,451.0,117.0,25.94,CA
143353854.0,416.0,32.0,7.69,VA
143353987.0,169.0,35.0,20.71,AZ
143353995.0,376.0,103.0,27.39,NC
143355222.0,9488.0,306.0,3.23,IN
143356774.0,123.0,27.0,21.95,CA
143356808.0,241.0,71.0,29.46,CA
143358101.0,2232.0,101.0,4.53,MA
