PAC ID,Total Claim Count,Opioid Claim Count,Opioid Prescribing Rate,State
648212530.0,276.0,22.0,7.97,WA
648213629.0,5008.0,76.0,1.52,MA
648215780.0,5955.0,423.0,7.1,VA
648217760.0,331.0,27.0,8.16,PA
648218313.0,379.0,11.0,2.9,TX
648228213.0,636.0,468.0,73.58,GA
648233296.0,19875.0,1011.0,5.09,PA
648242206.0,8316.0,31.0,0.37,VI
648243238.0,22444.0,696.0,3.1,FL
648245910.0,8331.0,77.0,0.92,TX
648247197.0,14690.0,576.0,3.92,GA
648250977.0,10634.0,635.0,5.97,IL
648261453.0,272.0,62.0,22.79,TX
648263244.0,1017.0,115.0,11.31,FL
648266635.0,3933.0,64.0,1.63,NJ
648267468.0,3640.0,230.0,6.32,NJ
648269092.0,173.0,16.0,9.25,AZ
648272252.0,10684.0,0.0,0.0,MI
648276196.0,6496.0,42.0,0.65,WI
648296954.0,3133.0,67.0,2.14,NJ
648299644.0,189.0,16.0,8.47,VA
648300335.0,1412.0,100.0,7.08,FL
648303743.0,2196.0,73.0,3.32,NY
648307348.0,14213.0,650.0,4.57,CA
648307686.0,10949.0,381.0,3.48,PA
648308833.0,1819.0,114.0,6.27,CT
648312298.0,793.0,16.0,2.02,FL
648316323.0,4627.0,205.0,4.43,MI
648321364.0,196.0,27.0,13.78,NV
648322487.0,741.0,153.0,20.65,OH
648328393.0,5643.0,207.0,3.67,CA
648333625.0,6584.0,334.0,5.07,PA
648339515.0,2808.0,42.0,1.5,CA
648343335.0,4250.0,40.0,0.94,FL
648343343.0,30838.0,856.0,2.78,MS
648346882.0,242.0,39.0,16.12,MD
648354829.0,129.0,15.0,11.63,MD
648357558.0,9253.0,189.0,2.04,PA
648358804.0,311.0,33.0,10.61,TN
648359315.0,8919.0,223.0,2.5,NC
648360503.0,19793.0,738.0,3.73,SC
648363457.0,5062.0,214.0,4.23,CA
648366286.0,1581.0,0.0,0.0,NY
648378653.0,59.0,0.0,0.0,NJ
648395012.0,2811.0,88.0,3.13,NV
648396028.0,2619.0,51.0,1.95,NY
648400010.0,181.0,13.0,7.18,CA
648406140.0,7056.0,382.0,5.41,MI
648406561.0,285.0,0.0,0.0,NY
648417980.0,494.0,21.0,4.25,SC
648421842.0,11296.0,71.0,0.63,FL
648434423.0,1574.0,13.0,0.83,AZ
648435677.0,2107.0,149.0,7.07,NC
648452417.0,7041.0,250.0,3.55,FL
648453167.0,17112.0,1107.0,6.47,CA
648454249.0,7924.0,468.0,5.91,OH
648466409.0,394.0,17.0,4.31,PR
648492082.0,463.0,28.0,6.05,GA
648498014.0,971.0,47.0,4.84,NE
648590547.0,3222.0,424.0,13.16,IN
648593749.0,212.0,22.0,10.38,NY
648596320.0,559.0,22.0,3.94,KY
749170744.0,24280.0,846.0,3.48,PA
749172872.0,5398.0,66.0,1.22,PR
749173888.0,14943.0,660.0,4.42,KY
749175180.0,11997.0,669.0,5.58,TN
749184554.0,286.0,21.0,7.34,PA
749187508.0,5268.0,497.0,9.43,FL
749206779.0,185.0,25.0,13.51,GA
749210540.0,19655.0,576.0,2.93,AR
749211969.0,1079.0,661.0,61.26,NV
749215382.0,442.0,37.0,8.37,FL
749215713.0,159.0,42.0,26.42,CT
749226751.0,337.0,31.0,9.2,ID
749228120.0,5448.0,90.0,1.65,MI
749238947.0,5339.0,361.0,6.76,MI
749258788.0,558.0,29.0,5.2,MD
749260644.0,2310.0,402.0,17.4,NY
749262053.0,1003.0,44.0,4.39,OH
749262855.0,2696.0,96.0,3.56,WI
749267193.0,2332.0,0.0,0.0,NY
749269132.0,5041.0,192.0,3.81,FL
749274280.0,7417.0,250.0,3.37,NY
749277721.0,8526.0,0.0,0.0,CA
749279636.0,2988.0,49.0,1.64,MA
749284735.0,632.0,20.0,3.16,PA
749285237.0,3011.0,180.0,5.98,MI
749289932.0,3814.0,76.0,1.99,GA
749293298.0,14893.0,633.0,4.25,TN
749306504.0,468.0,39.0,8.33,OH
749306959.0,214.0,22.0,10.28,OR
749310944.0,7953.0,159.0,2.0,NC
749317725.0,1383.0,37.0,2.68,FL
749318392.0,6243.0,121.0,1.94,PA
749325249.0,4603.0,145.0,3.15,OH
749334738.0,119.0,0.0,0.0,MO
749336956.0,610.0,21.0,3.44,TX
749346526.0,257.0,21.0,8.17,MI
749351989.0,520.0,17.0,3.27,FL
749355691.0,6919.0,550.0,7.95,TX
749359008.0,531.0,46.0,8.66,PR
749368124.0,916.0,63.0,6.88,FL
749377281.0,10113.0,418.0,4.13,WI
749381879.0,337.0,13.0,3.86,TX
749383800.0,375.0,25.0,6.67,GA
749388171.0,942.0,11.0,1.17,NY
749402139.0,7506.0,685.0,9.13,AL
749407344.0,239.0,23.0,9.62,MD
749418549.0,354.0,36.0,10.17,LA
749422186.0,249.0,0.0,0.0,WA
749422558.0,311.0,17.0,5.47,GA
749423838.0,4359.0,197.0,4.52,OH
749424158.0,5444.0,82.0,1.51,OH
749438588.0,405.0,0.0,0.0,TX
749439982.0,134.0,19.0,14.18,TX
749443067.0,125.0,0.0,0.0,NJ
749458800.0,535.0,19.0,3.55,OH
749459634.0,2461.0,44.0,1.79,FL
749465268.0,8030.0,379.0,4.72,CA
749466548.0,6777.0,608.0,8.97,CA
749472025.0,321.0,30.0,9.35,MD
749472959.0,16058.0,527.0,3.28,FL
749473031.0,26218.0,862.0,3.29,MO
749474682.0,5210.0,123.0,2.36,CA
749476299.0,489.0,17.0,3.48,FL
749501500.0,378.0,30.0,7.94,PA
749503241.0,1125.0,0.0,0.0,CA
749578185.0,65.0,11.0,16.92,CA
749597789.0,528.0,37.0,7.01,CA
749598381.0,294.0,15.0,5.1,MI
840182440.0,760.0,0.0,0.0,NY
840196184.0,1723.0,39.0,2.26,DC
840206991.0,239.0,13.0,5.44,AR
840207080.0,4630.0,407.0,8.79,FL
840208484.0,1963.0,52.0,2.65,IL
840210654.0,14071.0,412.0,2.93,NV
840211181.0,1068.0,30.0,2.81,TX
840224507.0,4993.0,158.0,3.16,IN
840227427.0,2233.0,15.0,0.67,MA
840229944.0,6993.0,426.0,6.09,PA
840234647.0,314.0,22.0,7.01,CA
840246039.0,279.0,37.0,13.26,MI
840253399.0,1751.0,73.0,4.17,TX
840253977.0,477.0,67.0,14.05,OH
840254702.0,701.0,37.0,5.28,TX
840254728.0,2255.0,11.0,0.49,AL
840255162.0,6587.0,98.0,1.49,NY
840258448.0,4420.0,96.0,2.17,TX
840259008.0,28.0,0.0,0.0,NY
840263158.0,4677.0,69.0,1.48,MA
840263216.0,4811.0,16.0,0.33,NY
840264974.0,4412.0,402.0,9.11,RI
840265989.0,8283.0,433.0,5.23,CA
840266490.0,2962.0,63.0,2.13,MA
840268876.0,286.0,12.0,4.2,CA
840269502.0,19.0,0.0,0.0,TX
840279063.0,640.0,87.0,13.59,TX
840282059.0,15333.0,429.0,2.8,NY
840283412.0,16031.0,830.0,5.18,OR
840283446.0,3130.0,12.0,0.38,FL
840284386.0,10512.0,411.0,3.91,MI
840284956.0,413.0,57.0,13.8,MO
840285300.0,9843.0,500.0,5.08,KS
840290193.0,3678.0,19.0,0.52,OH
840324323.0,2833.0,201.0,7.09,MD
840325460.0,442.0,38.0,8.6,LA
840331005.0,882.0,15.0,1.7,IL
840336319.0,1693.0,88.0,5.2,NY
840344453.0,8517.0,192.0,2.25,TX
840345211.0,8547.0,591.0,6.91,OH
840345799.0,1650.0,0.0,0.0,GA
840346235.0,238.0,16.0,6.72,MI
840346631.0,8082.0,166.0,2.05,LA
840352225.0,556.0,23.0,4.14,CA
840352365.0,5056.0,1826.0,36.12,GA
840352738.0,4746.0,354.0,7.46,TX
840358263.0,6492.0,113.0,1.74,NY
840365391.0,2004.0,76.0,3.79,GA
840369450.0,9067.0,581.0,6.41,MA
840371258.0,366.0,0.0,0.0,NY
840380614.0,336.0,39.0,11.61,GA
840390225.0,292.0,0.0,0.0,MO
840391272.0,758.0,17.0,2.24,WI
840410403.0,1294.0,29.0,2.24,WI
840413290.0,276.0,27.0,9.78,MD
840416079.0,297.0,14.0,4.71,MI
840424636.0,1702.0,55.0,3.23,LA
840431870.0,406.0,22.0,5.42,TN
840432092.0,678.0,40.0,5.9,MO
840432266.0,105.0,11.0,10.48,IL
840435806.0,283.0,21.0,7.42,DC
840436648.0,4194.0,14.0,0.33,DE
840439881.0,7061.0,50.0,0.71,PA
840439915.0,659.0,39.0,5.92,NY
840441580.0,252.0,22.0,8.73,FL
840446605.0,197.0,30.0,15.23,MD
840447322.0,566.0,16.0,2.83,NJ
840448296.0,856.0,75.0,8.76,WA
840448999.0,5841.0,142.0,2.43,PA
840450391.0,258.0,13.0,5.04,AL
840450599.0,2715.0,0.0,0.0,NY
840450961.0,1065.0,28.0,2.63,NY
840456133.0,858.0,12.0,1.4,IL
840460861.0,4747.0,251.0,5.29,WI
840461547.0,9733.0,570.0,5.86,PA
840462503.0,3787.0,70.0,1.85,FL
840463691.0,11746.0,1221.0,10.4,TX
840486775.0,2995.0,28.0,0.93,MS
840487849.0,6125.0,76.0,1.24,PA
840504825.0,2082.0,86.0,4.13,OH
840512208.0,24352.0,304.0,1.25,FL
840512869.0,227.0,13.0,5.73,TX
840513578.0,404.0,25.0,6.19,IA
840513826.0,271.0,12.0,4.43,CA
840514030.0,546.0,18.0,3.3,TX
840519534.0,332.0,19.0,5.72,MI
840587838.0,1017.0,55.0,5.41,NC
941104632.0,153.0,22.0,14.38,NJ
941108526.0,8102.0,492.0,6.07,TX
941109177.0,3887.0,56.0,1.44,FL
941113393.0,17049.0,506.0,2.97,TX
941191654.0,34.0,0.0,0.0,NY
941193445.0,7822.0,413.0,5.28,CA
941194351.0,1893.0,64.0,3.38,FL
941195515.0,4084.0,0.0,0.0,MN
941197164.0,825.0,42.0,5.09,LA
941197867.0,2152.0,1061.0,49.3,AZ
941198022.0,1584.0,0.0,0.0,NY
941202444.0,1888.0,55.0,2.91,TN
941207070.0,4884.0,355.0,7.27,MI
941207153.0,744.0,381.0,51.21,KS
941216683.0,6834.0,225.0,3.29,LA
941220461.0,8296.0,4815.0,58.04,GA
941221352.0,18862.0,1470.0,7.79,OK
941226690.0,3220.0,138.0,4.29,FL
941228662.0,8525.0,306.0,3.59,CA
941229272.0,337.0,20.0,5.93,SD
941230726.0,1345.0,55.0,4.09,SC
941235121.0,1323.0,744.0,56.24,MD
941242374.0,2874.0,19.0,0.66,GA
941247886.0,376.0,42.0,11.17,NM
941256069.0,10560.0,687.0,6.51,OK
941256325.0,3926.0,180.0,4.58,TX
941259709.0,2587.0,26.0,1.01,NM
941262208.0,16143.0,605.0,3.75,LA
941262885.0,7709.0,749.0,9.72,FL
941266696.0,5017.0,249.0,4.96,AL
941271498.0,2719.0,49.0,1.8,HI
941273478.0,11934.0,360.0,3.02,FL
941275424.0,8971.0,34.0,0.38,MI
941279723.0,212.0,22.0,10.38,TX
941282198.0,11789.0,831.0,7.05,FL
941286603.0,13104.0,293.0,2.24,CA
941287023.0,2661.0,46.0,1.73,PA
941291017.0,4864.0,145.0,2.98,TX
941301360.0,2609.0,147.0,5.63,CA
941304612.0,2025.0,72.0,3.56,IL
941305882.0,5071.0,367.0,7.24,FL
941309264.0,6314.0,325.0,5.15,MI
941325104.0,1466.0,18.0,1.23,KY
941325286.0,3108.0,27.0,0.87,OK
941326227.0,19076.0,665.0,3.49,GA
941331243.0,3287.0,94.0,2.86,CA
941333520.0,21950.0,566.0,2.58,TN
941338610.0,4835.0,75.0,1.55,OH
941340145.0,10574.0,648.0,6.13,AR
941340384.0,5010.0,102.0,2.04,OH
941346019.0,229.0,26.0,11.35,WA
941347405.0,984.0,23.0,2.34,MA
941354476.0,482.0,16.0,3.32,OR
941357446.0,374.0,22.0,5.88,IL
941358758.0,19923.0,576.0,2.89,TX
941370415.0,137.0,13.0,9.49,HI
941372114.0,4636.0,250.0,5.39,TN
941374805.0,435.0,15.0,3.45,IL
941376347.0,34443.0,597.0,1.73,PR
941376586.0,964.0,26.0,2.7,KS
941377758.0,2245.0,106.0,4.72,FL
941379341.0,7064.0,245.0,3.47,PA
941379572.0,17225.0,1534.0,8.91,MI
941385769.0,10666.0,767.0,7.19,MI
941386189.0,19416.0,184.0,0.95,CA
941387732.0,2974.0,125.0,4.2,NY
941395578.0,5770.0,152.0,2.63,TX
941420939.0,347.0,0.0,0.0,CA
941421960.0,615.0,16.0,2.6,NC
941422570.0,4827.0,90.0,1.86,CA
941424592.0,242.0,34.0,14.05,PA
941434427.0,358.0,26.0,7.26,NV
941441216.0,437.0,15.0,3.43,OH
941444798.0,400.0,23.0,5.75,SC
941456347.0,1339.0,52.0,3.88,MA
941473755.0,728.0,78.0,10.71,MA
941475891.0,512.0,23.0,4.49,CA
941477335.0,1954.0,286.0,14.64,IN
941479844.0,432.0,22.0,5.09,PA
941482111.0,5318.0,454.0,8.54,MI
941486377.0,82.0,16.0,19.51,WA
941488944.0,804.0,0.0,0.0,TX
941495048.0,5520.0,337.0,6.11,NY
941495071.0,1746.0,57.0,3.26,IL
941496079.0,1471.0,37.0,2.52,WY
941499636.0,12677.0,18.0,0.14,NY
941511679.0,329.0,15.0,4.56,MI
941522718.0,251.0,15.0,5.98,VA
941529770.0,274.0,16.0,5.84,MI
941588529.0,194.0,0.0,0.0,SD
941590152.0,470.0,0.0,0.0,WA
1052203858.0,5603.0,316.0,5.64,GA
1052212040.0,642.0,108.0,16.82,UT
1052216512.0,4389.0,107.0,2.44,LA
1052218930.0,6482.0,323.0,4.98,PA
1052302742.0,6182.0,247.0,4.0,TX
1052306339.0,1895.0,65.0,3.43,CA
1052307162.0,4664.0,218.0,4.67,NJ
1052310851.0,8678.0,359.0,4.14,TN
1052314366.0,2081.0,282.0,13.55,MI
1052323961.0,2152.0,130.0,6.04,TX
1052327111.0,3389.0,75.0,2.21,MA
1052339546.0,18140.0,422.0,2.33,FL
1052340726.0,2089.0,0.0,0.0,NY
1052343530.0,1955.0,79.0,4.04,MA
1052345360.0,7256.0,261.0,3.6,AL
1052346327.0,574.0,17.0,2.96,NJ
1052348315.0,12813.0,359.0,2.8,CA
1052349438.0,1524.0,32.0,2.1,OH
1052355088.0,6881.0,339.0,4.93,CA
1052358074.0,4350.0,50.0,1.15,NY
1052361987.0,297.0,19.0,6.4,TX
1052363389.0,5027.0,173.0,3.44,MA
1052371317.0,17264.0,640.0,3.71,TN
1052372281.0,5088.0,183.0,3.6,CO
1052374600.0,717.0,0.0,0.0,NY
1052375946.0,1592.0,0.0,0.0,TX
1052378098.0,5293.0,222.0,4.19,CA
1052385655.0,252.0,0.0,0.0,OH
1052392487.0,33.0,0.0,0.0,NJ
1052393915.0,166.0,12.0,7.23,MS
1052394434.0,2214.0,1162.0,52.48,MD
1052396884.0,5493.0,309.0,5.63,OH
1052400157.0,3743.0,103.0,2.75,IN
1052405933.0,2920.0,90.0,3.08,NJ
1052410388.0,5033.0,295.0,5.86,FL
1052410651.0,50.0,22.0,44.0,MI
1052416310.0,6473.0,104.0,1.61,FL
1052416930.0,205.0,17.0,8.29,GA
1052419017.0,129.0,15.0,11.63,TX
1052436060.0,351.0,32.0,9.12,UT
1052436599.0,5349.0,36.0,0.67,PA
1052436821.0,3339.0,31.0,0.93,TN
1052451598.0,3815.0,166.0,4.35,AL
1052453651.0,2189.0,111.0,5.07,TN
1052454311.0,62.0,0.0,0.0,CT
1052455383.0,1562.0,102.0,6.53,FL
1052457108.0,2544.0,161.0,6.33,CA
1052458601.0,14.0,0.0,0.0,KS
1052465226.0,410.0,27.0,6.59,NC
1052465374.0,17309.0,1436.0,8.3,AR
1052469608.0,236.0,26.0,11.02,OH
1052471372.0,498.0,0.0,0.0,IL
1052471679.0,2481.0,138.0,5.56,VT
1052472909.0,4283.0,139.0,3.25,CA
1052483328.0,296.0,18.0,6.08,GA
1052484284.0,397.0,41.0,10.33,TX
1052485620.0,2591.0,0.0,0.0,WI
1052491578.0,1179.0,57.0,4.83,NC
1052495413.0,9142.0,308.0,3.37,FL
1052496544.0,4745.0,75.0,1.58,FL
1052534153.0,347.0,18.0,5.19,WA
1052538998.0,292.0,23.0,7.88,DE
1052545084.0,210.0,28.0,13.33,HI
1052557741.0,267.0,26.0,9.74,NH
1052563574.0,4322.0,140.0,3.24,AZ
1052564275.0,230.0,0.0,0.0,VA
