Year,State,Year,Month,Total Deaths,Drug Deaths
2015,AK,2015,January,4034,126
2015,AK,2015,February,4084,127
2015,AK,2015,March,4101,125
2015,AK,2015,April,4133,126
2015,AK,2015,May,4196,125
2015,AK,2015,June,4201,121
2015,AK,2015,July,4220,117
2015,AK,2015,August,4222,124
2015,AK,2015,September,4242,125
2015,AK,2015,October,4241,120
2015,AK,2015,November,4219,115
2015,AK,2015,December,4193,121
2015,AL,2015,January,49543,715
2015,AL,2015,February,50004,723
2015,AL,2015,March,50486,733
2015,AL,2015,April,50565,738
2015,AL,2015,May,50516,755
2015,AL,2015,June,50658,756
2015,AL,2015,July,50841,743
2015,AL,2015,August,50930,736
2015,AL,2015,September,51044,744
2015,AL,2015,October,51091,730
2015,AL,2015,November,51093,725
2015,AL,2015,December,50870,720
2015,AR,2015,January,30122,366
2015,AR,2015,February,30332,366
2015,AR,2015,March,30387,385
2015,AR,2015,April,30444,373
2015,AR,2015,May,30602,383
2015,AR,2015,June,30722,391
2015,AR,2015,July,30685,395
2015,AR,2015,August,30884,398
2015,AR,2015,September,30931,392
2015,AR,2015,October,31015,397
2015,AR,2015,November,31007,389
2015,AR,2015,December,30986,381
2015,AZ,2015,January,52342,1193
2015,AZ,2015,February,52371,1175
2015,AZ,2015,March,52826,1174
2015,AZ,2015,April,53025,1173
2015,AZ,2015,May,53225,1184
2015,AZ,2015,June,53462,1209
2015,AZ,2015,July,53685,1201
2015,AZ,2015,August,53907,1240
2015,AZ,2015,September,54058,1241
2015,AZ,2015,October,54122,1264
2015,AZ,2015,November,54421,1269
2015,AZ,2015,December,54853,1267
2015,CA,2015,January,248191,4603
2015,CA,2015,February,249920,4616
2015,CA,2015,March,251540,4608
2015,CA,2015,April,252831,4625
2015,CA,2015,May,253858,4607
2015,CA,2015,June,254838,4604
2015,CA,2015,July,255417,4628
2015,CA,2015,August,256464,4670
2015,CA,2015,September,257163,4747
2015,CA,2015,October,257750,4784
2015,CA,2015,November,258808,4747
2015,CA,2015,December,260172,4762
2015,CO,2015,January,36264,923
2015,CO,2015,February,36330,932
2015,CO,2015,March,36300,939
2015,CO,2015,April,36601,950
2015,CO,2015,May,36667,927
2015,CO,2015,June,36816,921
2015,CO,2015,July,36960,918
2015,CO,2015,August,37125,928
2015,CO,2015,September,37101,917
2015,CO,2015,October,37144,915
2015,CO,2015,November,37144,908
2015,CO,2015,December,36993,913
2015,CT,2015,January,30221,631
2015,CT,2015,February,30349,633
2015,CT,2015,March,30497,639
2015,CT,2015,April,30431,650
2015,CT,2015,May,30437,652
2015,CT,2015,June,30508,670
2015,CT,2015,July,30612,722
2015,CT,2015,August,30549,728
2015,CT,2015,September,30556,748
2015,CT,2015,October,30615,779
2015,CT,2015,November,30751,800
2015,CT,2015,December,30600,799
2015,DC,2015,January,5589,113
2015,DC,2015,February,5632,113
2015,DC,2015,March,5704,115
2015,DC,2015,April,5740,113
2015,DC,2015,May,5706,118
2015,DC,2015,June,5678,119
2015,DC,2015,July,5668,114
2015,DC,2015,August,5703,115
2015,DC,2015,September,5683,122
2015,DC,2015,October,5719,126
2015,DC,2015,November,5754,135
2015,DC,2015,December,5706,144
2015,DE,2015,January,8485,210
2015,DE,2015,February,8561,208
2015,DE,2015,March,8551,208
2015,DE,2015,April,8580,200
2015,DE,2015,May,8583,195
2015,DE,2015,June,8577,199
2015,DE,2015,July,8642,202
2015,DE,2015,August,8648,192
2015,DE,2015,September,8686,201
2015,DE,2015,October,8661,187
2015,DE,2015,November,8666,194
2015,DE,2015,December,8591,195
2015,FL,2015,January,189170,2755
2015,FL,2015,February,190591,2824
2015,FL,2015,March,191745,2862
2015,FL,2015,April,192268,2886
2015,FL,2015,May,193067,2958
2015,FL,2015,June,193387,2983
2015,FL,2015,July,193875,3117
2015,FL,2015,August,194364,3204
2015,FL,2015,September,195097,3270
2015,FL,2015,October,195599,3341
2015,FL,2015,November,195311,3340
2015,FL,2015,December,194297,3352
2015,GA,2015,January,77687,1206
2015,GA,2015,February,78215,1235
2015,GA,2015,March,78805,1257
2015,GA,2015,April,79111,1270
2015,GA,2015,May,79186,1289
2015,GA,2015,June,79559,1311
2015,GA,2015,July,79994,1330
2015,GA,2015,August,80081,1327
2015,GA,2015,September,80392,1314
2015,GA,2015,October,80715,1337
2015,GA,2015,November,80919,1315
2015,GA,2015,December,80541,1308
2015,HI,2015,January,11026,157
2015,HI,2015,February,11076,161
2015,HI,2015,March,11073,158
2015,HI,2015,April,11031,157
2015,HI,2015,May,11063,163
2015,HI,2015,June,11100,147
2015,HI,2015,July,11111,147
2015,HI,2015,August,11116,149
2015,HI,2015,September,11154,153
2015,HI,2015,October,11187,156
2015,HI,2015,November,11203,165
2015,HI,2015,December,11208,171
2015,IA,2015,January,29177,274
2015,IA,2015,February,29203,274
2015,IA,2015,March,29380,272
2015,IA,2015,April,29412,265
2015,IA,2015,May,29462,277
2015,IA,2015,June,29533,289
2015,IA,2015,July,29649,298
2015,IA,2015,August,29667,296
2015,IA,2015,September,29678,311
2015,IA,2015,October,29692,307
2015,IA,2015,November,29599,308
2015,IA,2015,December,29291,300
2015,ID,2015,January,12667,209
2015,ID,2015,February,12669,206
2015,ID,2015,March,12693,216
2015,ID,2015,April,12753,219
2015,ID,2015,May,12849,213
2015,ID,2015,June,12831,217
2015,ID,2015,July,12917,220
2015,ID,2015,August,12836,218
2015,ID,2015,September,12782,214
2015,ID,2015,October,12892,215
2015,ID,2015,November,12905,209
2015,ID,2015,December,12987,214
2015,IL,2015,January,103054,1652
2015,IL,2015,February,103174,1657
2015,IL,2015,March,103679,1688
2015,IL,2015,April,104256,1735
2015,IL,2015,May,104525,1782
2015,IL,2015,June,104648,1766
2015,IL,2015,July,104977,1761
2015,IL,2015,August,105266,1793
2015,IL,2015,September,105207,1813
2015,IL,2015,October,105465,1847
2015,IL,2015,November,105252,1860
2015,IL,2015,December,103953,1864
2015,IN,2015,January,62174,1162
2015,IN,2015,February,62377,1151
2015,IN,2015,March,62886,1193
2015,IN,2015,April,63354,1208
2015,IN,2015,May,63491,1203
2015,IN,2015,June,63517,1217
2015,IN,2015,July,63570,1207
2015,IN,2015,August,63694,1221
2015,IN,2015,September,63837,1210
2015,IN,2015,October,63829,1205
2015,IN,2015,November,63655,1218
2015,IN,2015,December,63255,1232
2015,KS,2015,January,25208,312
2015,KS,2015,February,25320,308
2015,KS,2015,March,25392,323
2015,KS,2015,April,25392,332
2015,KS,2015,May,25456,337
2015,KS,2015,June,25657,330
2015,KS,2015,July,25803,328
2015,KS,2015,August,25885,337
2015,KS,2015,September,25920,334
2015,KS,2015,October,26017,334
2015,KS,2015,November,25935,328
2015,KS,2015,December,25863,323
2015,KY,2015,January,44911,1101
2015,KY,2015,February,45331,1121
2015,KY,2015,March,45453,1152
2015,KY,2015,April,45635,1172
2015,KY,2015,May,45852,1185
2015,KY,2015,June,45839,1198
2015,KY,2015,July,45917,1211
2015,KY,2015,August,45990,1208
2015,KY,2015,September,46169,1233
2015,KY,2015,October,46372,1217
2015,KY,2015,November,46396,1240
2015,KY,2015,December,46195,1248
2015,LA,2015,January,44100,782
2015,LA,2015,February,44150,785
2015,LA,2015,March,44301,784
2015,LA,2015,April,44230,796
2015,LA,2015,May,44154,803
2015,LA,2015,June,44191,802
2015,LA,2015,July,44204,825
2015,LA,2015,August,44240,823
2015,LA,2015,September,44371,838
2015,LA,2015,October,44348,834
2015,LA,2015,November,44169,853
2015,LA,2015,December,43914,875
2015,MA,2015,January,57044,1296
2015,MA,2015,February,57676,1288
2015,MA,2015,March,58056,1331
2015,MA,2015,April,58197,1376
2015,MA,2015,May,58356,1395
2015,MA,2015,June,58523,1408
2015,MA,2015,July,58729,1453
2015,MA,2015,August,58790,1494
2015,MA,2015,September,58924,1549
2015,MA,2015,October,59151,1623
